タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),誌名(日本語),誌名(英語),開始ページ,終了ページ,出版年月,査読の有無,招待の有無,記述言語,ID:DOI
,Using Machine Teaching to Investigate Human Assumptions when Teaching Reinforcement Learners,,Y.-S. Chuang; X. Zhang; Y. Ma; M. K. Ho; J. L. Austerweil; X. Zhu,,Proceedings of the 43rd Annual Meeting of the Cognitive Science Society,1159,1165,2021-01,1,0,en,
,Cognitive Properties of Norm Representations,,B. F. Malle; J. L. Austerweil; V. B. Chi; Y. N. Kenett; E. D. Beck; S. Thapa; M. Allaham,,Proceedings of the 43rd Annual Meeting of the Cognitive Science Society,819,825,2021-01,1,0,en,
,The Fraction Sense Emerges from a Deep Convolutional Neural Network,,Y.-S. Chuang; E. Hubbard; J. L. Austerweil,,Proceedings of the 42nd Annual Meeting of the Cognitive Science Society,1207,1213,2020-01,1,0,en,
,Evaluating Theories of Collaborative Cognition Using the Hawkes Process and a Large Naturalistic Data Set,,M. Afrasiabi; M. G. Orr; J. L. Austerweil,,Proceedings of the 41st Annual meeting of the Cognitive Science Society,69,75,2019-01,1,0,en,
,Subjective Randomness in a Non-Cooperative Game,,M. Payton; J. C. Zemla; J. L. Austerweil,,Proceedings of the 41st Annual Meeting of the Cognitive Science Society,2544,2549,2019-01,1,0,en,
,Novel categories are distinct from Not-categories,,S. X. Liew; J. L. Austerweil,,Proceedings of the 41st Annual Meeting of the Cognitive Science Society,2147,2153,2019-01,1,0,en,
,Rapid Learning in early Attentional Processing: Bayesian Estimation of Trial-by-Trial Updating,,A. Cochrane; J. L. Austerweil; V. Simmering; C. S. Green,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,232,237,2018-01,1,0,en,
,Do Humans Navigate via Random Walks? Modeling Navigation in a Semantic Word Game,,M. H. Fathan; E. K. Renfro; J. L. Austerweil; N. M. Beckage,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,366,371,2018-01,1,0,en,
,Effectively Learning from Pedagogical Demonstrations,,M. K. Ho; M. L. Littman; F. Cushman; J. L. Austerweil,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,505,510,2018-01,1,0,en,
,Predictors of L2 word learning accuracy: A big data investigation,,E. W. M. Hopman; B. Thompson; J. L. Austerweil; G. Lupyan,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,515,518,2018-01,1,0,en,
,PACKER: An Exemplar Model of Category Generation,,N. Conway; J. L. Austerweil,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,1812,1817,2017-01,1,0,en,
,Teaching by Intervention: Working Backwards Undoing Mistakes or Correcting Mistakes?,,M. K. Ho; M. L. Littman; J. L. Austerweil,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,526,531,2017-01,1,0,en,
,Interpreting Asymmetries in Speech Perception in Bayesian Inference,,J. Ren; J. L. Austerweil,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,1010,1015,2017-01,1,0,en,
,Modeling semantic fluency data as search on a semantic network,,J. C. Zemla; J. L. Austerweil,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,3646,3651,2017-01,1,0,en,
,Mental Representations and Computational Modeling of Context-Specific Human Norm Systems,,V. Sarathy; M. Scheutz; Y. Kenett; M. M. Allaham; J. L. Austerweil; B. F. Malle,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,1035,1040,2017-01,1,0,en,
,Showing versus doing: Teaching by demonstration,,M. K. Ho; M. L. Littman; J. MacGlashan; F. Cushman; J. L. Austerweil,,Advances in Neural Information Processing Systems 29,3027,3035,2016-01,1,0,en,
,Feature-based Joint Planning and Norm Learning in Collaborative Games,,M. K. Ho; J. MacGlashan; A. Greenwald; M. Littman; E. Hilliard; C. Trimbach; S. Brawner; J. B. Tenenbaum; M. Kleiman-Weiner; J. L. Austerweil,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,1158,1163,2016-01,1,0,en,
,U-INVITE: Estimating Individual Semantic Networks From Fluency Data,,J. C. Zemla; Y. Kenett; K.-S. Jun; J. L. Austerweil,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,1907,1912,2016-01,1,0,en,
,Coordinate to cooperate or compete: Abstract goals and joint intentions in social interaction,,M. Kleiman-Weiner; M. K. Ho; J. L. Austerweil; M. L. Littman; J. B. Tenenbaum,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,1679,1684,2016-01,1,0,en,
,Examining search processes in low and high creative individuals with random walks,,Y. N. Kenett; J. L. Austerweil,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,313,318,2016-01,1,0,en,
,The Impact of Outcome Preferences in a Collection of Non-Zero-Sum Grid Games,,J. L. Austerweil; S. Brawner; A. Greenwald; E. Hilliard; M. K. Ho; M. L. Littman; J. MacGlashan; C. Trimbach,,AAAI Spring System 2016 on Challenges and Opportunities in Multiagent Learning for the Real World,,,2016-01,1,0,en,
,Networks of social and moral norms in human and artificial agents,,B. F. Malle; M. Scheutz; J. L. Austerweil,,International Conference on Robot Ethics,,,2015-01,1,0,en,
,Teaching with Rewards and Punishments: Reinforcement or Communication?,,M. K. Ho; M. L. Littman; F. Cushman; J. L. Austerweil,,Proceedings of the 37th Annual Meeting of the Cognitive Science Society,920,925,2015-01,1,0,en,
,Learning Additive and Substitutive Features,,T. Qian; J. L. Austerweil,,Proceedings of the 37th Annual Meeting of the Cognitive Science Society,1919,1924,2015-01,1,0,en,
,Testing the psychological validity of cluster construction biases,,J. L. Austerweil,,Proceedings of the 36th Annual Meeting of the Cognitive Science Society,122,127,2014-01,1,0,en,
,Visual Concept Learning: Combining Machine Vision and Bayesian Generalization on Concept Hierarchies,,Y. Jia; J. T. Abbott; J. L. Austerweil; T. L. Griffiths; T. Darrell,,Advances in Neural Information Processing Systems 26,1842,1850,2013-01,1,0,en,
,Human memory search as a random walk in a semantic network,,J. T. Abbott; J. L. Austerweil; T. L. Griffiths,,Advances in Neural Information Processing Systems 25,3041,3049,2012-01,1,0,en,
,Video games as a path to a contextualized cognitive science or How to move beyond 20 questions with nature,,G. Kachergis; J. L. Austerweil,,Proceedings of the Annual Meeting of the Cognitive Science Society 45,,,2023-01,1,0,en,
,Constructing a hypothesis space from the Web for large-scale Bayesian word learning,,J. T. Abbott; J. L. Austerweil; T. L. Griffiths,,Proceedings of the 34th Annual Meeting of the Cognitive Science Society,54,59,2012-01,1,0,en,
,Comparing the inductive biases of simple neural networks and Bayesian models,,T. L. Griffiths; J. L. Austerweil; V. G. Berthiaume,,Proceedings of the 34th Annual Meeting of the Cognitive Science Society,402,407,2012-01,1,0,en,
,An ideal observer model for identifying the reference frame of objects,,J. L. Austerweil; A. L. Friesen; T. L. Griffiths,,Advances in Neural Information Processing Systems 24,3041,3049,2011-01,1,0,en,
,An ideal observer model for identifying the reference frame of objects,,J. L. Austerweil; T. L. Griffiths,,Advances in Neural Information Processing Systems 23,82,90,2010-01,1,0,en,
,Learning hypothesis spaces and dimensions through concept learning,,J. L. Austerweil; T. L. Griffiths,,Proceedings of the 32nd Annual Meeting of the Cognitive Science Society,73,78,2010-01,1,0,en,
,The effect of distributional information on feature learning,,J. L. Austerweil; T. L. Griffiths,,Proceedings of the 31st Annual Meeting of the Cognitive Science Society,2765,2770,2009-01,1,0,en,
,Analyzing human feature learning as nonparametric Bayesian inference,,J. L. Austerweil; T. L. Griffiths,,Advances in Neural Information Processing Systems 21,97,104,2009-01,1,0,en,
,A rational analysis of confirmation with deterministic hypotheses,,J. L. Austerweil; T. L. Griffiths,,Proceedings of the 30th Annual Meeting of the Cognitive Science Society,1041,1046,2008-01,1,0,en,
,A unified local and global model for discourse coherence,,M. Elsner; J. L. Austerweil; E. Charniak,,Proceedings of the Human Language Technologies-North American Association of Computational Linguistics (NAACL),,,2007-01,1,0,en,
,Multilevel modeling approach to discourse coherence,,E. Charniak; M. Johnson; M. Elsner; J. L. Austerweil; D. Ellis; I Haxton; C. Hill; S. Iyengar; J. Moore; M. Pozar; T. Vu,,Proceedings of the Human Language Technologies-North American Association of Computational Linguistics (NAACL),,,2006-01,1,0,en,
