misc
タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
,Bayesian Event-Based Model for Disease Subtype and Stage Inference,,Hao Hongtao; J. L. Austerweil,最終著者,,,,,2025-01,,Proceedings of the Machine Learning for Health Conference 2025,297,,,,,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Joint Progression Modeling for Mixed Pathologies (JPM): A Probabilistic Framework for Mixed-Pathology Progression,,Hao Hongtao; J. L. Austerweil,最終著者,,,,,2025-01,,Proceedings of the Machine Learning for Health Conference 2025,,,,,,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Stage-Aware Event-Based Modeling (SA-EBM) for Disease Progression,,Hao Hongtao; Prabhakaran Vivek; Nair Veena A; Adluru Nagesh; J. L. Austerweil,最終著者,,,,,2025-01,,Proceedings of the 10th Machine Learning for Healthcare Conference,298,,,,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Using Machine Teaching to Investigate Human Assumptions when Teaching Reinforcement Learners,,Y.-S. Chuang; X. Zhang; Y. Ma; M. K. Ho; J. L. Austerweil; X. Zhu,共著者,,,,,2021-01,,Proceedings of the 43rd Annual Meeting of the Cognitive Science Society,,,1159,1165,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Cognitive Properties of Norm Representations,,B. F. Malle; J. L. Austerweil; V. B. Chi; Y. N. Kenett; E. D. Beck; S. Thapa; M. Allaham,共著者,,,,,2021-01,,Proceedings of the 43rd Annual Meeting of the Cognitive Science Society,,,819,825,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,The Fraction Sense Emerges from a Deep Convolutional Neural Network,,Y.-S. Chuang; E. Hubbard; J. L. Austerweil,最終著者,,,,,2020-01,,Proceedings of the 42nd Annual Meeting of the Cognitive Science Society,,,1207,1213,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Evaluating Theories of Collaborative Cognition Using the Hawkes Process and a Large Naturalistic Data Set,,M. Afrasiabi; M. G. Orr; J. L. Austerweil,最終著者,,,,,2019-01,,Proceedings of the 41st Annual meeting of the Cognitive Science Society,,,69,75,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Subjective Randomness in a Non-Cooperative Game,,M. Payton; J. C. Zemla; J. L. Austerweil,最終著者,,,,,2019-01,,Proceedings of the 41st Annual Meeting of the Cognitive Science Society,,,2544,2549,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Novel categories are distinct from Not-categories,,S. X. Liew; J. L. Austerweil,最終著者,,,,,2019-01,,Proceedings of the 41st Annual Meeting of the Cognitive Science Society,,,2147,2153,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Rapid Learning in early Attentional Processing: Bayesian Estimation of Trial-by-Trial Updating,,A. Cochrane; J. L. Austerweil; V. Simmering; C. S. Green,共著者,,,,,2018-01,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,,,232,237,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Do Humans Navigate via Random Walks? Modeling Navigation in a Semantic Word Game,,M. H. Fathan; E. K. Renfro; J. L. Austerweil; N. M. Beckage,共著者,,,,,2018-01,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,,,366,371,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Effectively Learning from Pedagogical Demonstrations,,M. K. Ho; M. L. Littman; F. Cushman; J. L. Austerweil,最終著者,,,,,2018-01,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,,,505,510,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Predictors of L2 word learning accuracy: A big data investigation,,E. W. M. Hopman; B. Thompson; J. L. Austerweil; G. Lupyan,共著者,,,,,2018-01,,Proceedings of the 40th Annual Meeting of the Cognitive Science Society,,,515,518,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,PACKER: An Exemplar Model of Category Generation,,N. Conway; J. L. Austerweil,最終著者,,,,,2017-01,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,,,1812,1817,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Teaching by Intervention: Working Backwards Undoing Mistakes or Correcting Mistakes?,,M. K. Ho; M. L. Littman; J. L. Austerweil,最終著者,,,,,2017-01,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,,,526,531,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Interpreting Asymmetries in Speech Perception in Bayesian Inference,,J. Ren; J. L. Austerweil,最終著者,,,,,2017-01,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,,,1010,1015,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Modeling semantic fluency data as search on a semantic network,,J. C. Zemla; J. L. Austerweil,最終著者,,,,,2017-01,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,,,3646,3651,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Mental Representations and Computational Modeling of Context-Specific Human Norm Systems,,V. Sarathy; M. Scheutz; Y. Kenett; M. M. Allaham; J. L. Austerweil; B. F. Malle,共著者,,,,,2017-01,,Proceedings of the 39th Annual Meeting of the Cognitive Science Society,,,1035,1040,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Showing versus doing: Teaching by demonstration,,M. K. Ho; M. L. Littman; J. MacGlashan; F. Cushman; J. L. Austerweil,最終著者,,,,,2016-01,,Advances in Neural Information Processing Systems 29,,,3027,3035,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Feature-based Joint Planning and Norm Learning in Collaborative Games,,M. K. Ho; J. MacGlashan; A. Greenwald; M. Littman; E. Hilliard; C. Trimbach; S. Brawner; J. B. Tenenbaum; M. Kleiman-Weiner; J. L. Austerweil,最終著者,,,,,2016-01,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,,,1158,1163,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,U-INVITE: Estimating Individual Semantic Networks From Fluency Data,,J. C. Zemla; Y. Kenett; K.-S. Jun; J. L. Austerweil,最終著者,,,,,2016-01,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,,,1907,1912,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Coordinate to cooperate or compete: Abstract goals and joint intentions in social interaction,,M. Kleiman-Weiner; M. K. Ho; J. L. Austerweil; M. L. Littman; J. B. Tenenbaum,共著者,,,,,2016-01,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,,,1679,1684,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Examining search processes in low and high creative individuals with random walks,,Y. N. Kenett; J. L. Austerweil,最終著者,,,,,2016-01,,Proceedings of the 38th Annual Meeting of the Cognitive Science Society,,,313,318,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,The Impact of Outcome Preferences in a Collection of Non-Zero-Sum Grid Games,,J. L. Austerweil; S. Brawner; A. Greenwald; E. Hilliard; M. K. Ho; M. L. Littman; J. MacGlashan; C. Trimbach,筆頭著者,,,,,2016-01,,AAAI Spring System 2016 on Challenges and Opportunities in Multiagent Learning for the Real World,,,,,,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
,Video games as a path to a contextualized cognitive science or How to move beyond 20 questions with nature,,G. Kachergis; J. L. Austerweil,最終著者,,,,,2023-01,,Proceedings of the Annual Meeting of the Cognitive Science Society 45,,,,,,en,あり,なし,国際会議プロシーディングス,国際誌,あり,,,,,,はい,公開
