職名(日本語),職名(英語),所属機関名(日本語),所属機関名(英語),部署名(日本語),部署名(英語),開始年月,終了年月,現在の職か,国,都道府県,市区町村
上級研究科学者,Senior Research Scientist,千葉工業大学,Chiba Institute of Technology,イノベーションセンター,Center for Innovation,2025-01,,1,Japan,千葉県,習志野市
准教授（関連）,Associate Professor (affiliate),ウィスコンシン大学マディソン校,University of Wisconsin-Madison,放射線医学科,Department of Radiology,2023-01,2025-12,0,United States,Wisconsin,Madison
客員研究員,Visiting Researcher,理化学研究所,RIKEN,革新知能統合研究センター,Advanced Intelligence Project,2022-01,,1,Japan,東京都,
准教授,Associate Professor,ウィスコンシン大学マディソン校,University of Wisconsin-Madison,心理学科,Department of Psychology,2021-01,2025-12,0,United States,Wisconsin,Madison
准教授（関連）,Associate Professor (affiliate),ウィスコンシン大学マディソン校,University of Wisconsin-Madison,計算機科学科,Department of Computer Science,2022-01,2025-12,0,United States,Wisconsin,Madison
アソシエイト・エディター,Associate Editor,Computational Brain & Behavior,Computational Brain & Behavior,,,2019-01,,1,,,
助教,Assistant Professor,ウィスコンシン大学マディソン校,University of Wisconsin-Madison,心理学科,Department of Psychology,2016-01,2021-12,0,United States,Wisconsin,Madison
助教（関連）,Assistant Professor (affiliate),ウィスコンシン大学マディソン校,University of Wisconsin-Madison,計算機科学科,Department of Computer Science,2016-01,2021-12,0,United States,Wisconsin,Madison
助教,Assistant Professor,ブラウン大学,Brown University,認知・言語・心理科学科,Department of Cognition Linguistics & Psychological Sciences,2013-01,2016-12,0,United States,Rhode Island,Providence
ポスドク研究員,Postdoctoral Researcher,スタンフォード大学,Stanford University,,,,2013-01,2013-12,0,United States,California,Stanford
