タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,出版年月,査読の有無,招待の有無,記述言語,ID:DOI
,Bayesian Event-Based Model for Disease Subtype and Stage Inference,,Hao Hongtao; J. L. Austerweil,,Proceedings of the Machine Learning for Health Conference 2025,297,,,2025-01,1,0,en,
,Joint Progression Modeling for Mixed Pathologies (JPM): A Probabilistic Framework for Mixed-Pathology Progression,,Hao Hongtao; J. L. Austerweil,,Proceedings of the Machine Learning for Health Conference 2025,,,,2025-01,1,0,en,
,Stage-Aware Event-Based Modeling (SA-EBM) for Disease Progression,,Hao Hongtao; Prabhakaran Vivek; Nair Veena A; Adluru Nagesh; J. L. Austerweil,,Proceedings of the 10th Machine Learning for Healthcare Conference,298,,,,2025-01,1,0,en,
,Creating Something Different: Similarity Contrast and Representativeness in Categorization,,J. L. Austerweil; S. X. Liew; N. Conaway; K. J. Kurtz,,Computational Brain & Behavior,,,,1,35,2024-01,1,0,en,https://doi.org/10.1007/s42113-024-00209-5
,Evidence for optimal semantic search throughout adulthood,,J. C. Zemla; D. C. Gooding; J. L. Austerweil,,Nature: Scientific Communications,13,,22528,,2023-01,1,0,en,https://doi.org/10.1038/s41598-023-49858-9
,Communication in Action: Planning and interpreting communicative demonstrations,,M. K. Ho; F. Cushman; M. L. Littman; J. L. Austerweil,,Journal of Experimental Psychology: General,150,11,2246,2272,2021-01,1,0,en,
,REFRESH: A New Approach to Modelling Dimensional Biases in Perceptual Similarity and Categorization,,A. N. Sanborn; K. Heller; J. L. Austerweil; N. Chater,,Psychological Review,128,6,1145,1186,2021-01,1,0,en,
,Predictive Feedback Early Sensory Representations and Fast Responses to Predicted Stimuli Depend on NMDA Receptors,,S. Mohanta; M. Afrasiabi; C. Casey; S. Tanabe; M. J. Redinbaugh; N. A. Kambi; J. M. Phillips; D. Polyakov; W. Filbey; J. L. Austerweil; R. D. Sanders; Y. B. Saalman,,Journal of Neuroscience,41,49,10130,10147,2021-01,1,0,en,
,SNAFU: The Semantic Network and Fluency Utility,,J. C. Zemla; K. Cao; K. D. Mueller; J. L. Austerweil,,Behavior Research Methods,,,1,19,2020-01,1,0,en,10.3758/s13428-019-01343-w
,Evidence against a relation between bilingualism and creativity,,K. V. Lange; E. W. M. Hopman; J. C. Zemla; J. L. Austerweil,,PLOS ONE,15,6,1,18,2020-01,1,0,en,10.1371/journal.pone.0234928
,Learning How to Generalize,,J. L. Austerweil; S. A. Sanborn; T. L. Griffiths,,Cognitive Science,43,8,e12777,,2019-01,1,0,en,
,People teach with rewards and punishments as communication not reinforcements,,M. K. Ho; F. Cushman; M. L. Littman; J. L. Austerweil,,Journal of Experimental Psychology: General,148,3,520,549,2019-01,1,0,en,
,New Perspectives on the Aging Lexicon,,D. U. Wulff; S. De Deyne; M. N. Jones; R. Mata; J. L. Austerweil; R. H. Baayen; Balota; A. Baronchelli; M. Brysbaert; Q. Cai; S. Dennis; T. T. Hills; Y. N. Kenett; E. Keuleers; M. Marelli; S. V. Pakhomov; M. Ramscar; L. J. Schooler; Y. L. Shing; A. S. da Souza; C. S. Q. Siew; G. Storms; J. Verissimo,,Trends in Cognitive Sciences,23,8,686,698,2019-01,1,0,en,
,Analyzing knowledge retrieval impairments associated with Alzheimer's Disease using network analyses,,J. C. Zemla; J. L. Austerweil,,Complexity,,,e4203158,,2019-01,1,0,en,
,Subjective randomness as statistical inference,,T. L. Griffiths; D. D. Daniels; J. L. Austerweil; J. B. Tenenbaum,,Cognitive Psychology,103,,85,109,2018-01,1,0,en,
,Estimating semantic networks of groups and individuals from fluency data,,J. C. Zemla; J. L. Austerweil,,Computational Brain & Behavior,1,1,36,58,2018-01,1,0,en,
,Learning to be (in)variant using prior knowledge: The case of orientation in shape recognition,,J. L. Austerweil; S. E. Palmer; T. L. Griffiths,,Cognitive Science,41,,1183,1201,2017-01,1,0,en,
,The Sapir-Whorf hypothesis and probabilistic inference: Evidence from the domain of color,,E. Cibelli; Y. Xu; J. L. Austerweil; T. L. Griffiths; T. Regier,,PLOS: ONE,11,8,e0161521,,2016-01,1,0,en,
,Coding choices affect the analyses of a false belief measure,,D. M. Sobel; J. L. Austerweil,,Cognitive Development,40,,9,23,2016-01,1,0,en,
,Random walks on semantic networks can resemble optimal foraging,,J. T. Abbott; J. L. Austerweil; T. L. Griffiths,,Psychological Review,122,3,558,569,2015-01,1,0,en,
,Contradictory Heuristic Theories of Autism Spectrum Disorders: The Case for Theoretical Precision using Computational Models,,J. L. Austerweil,,Autism,19,3,367,368,2015-01,1,0,en,
,Analyzing the history of Cognition using topic models,,U. Cohen-Priva; J. L. Austerweil,,Cognition,135,,4,9,2015-01,1,0,en,
,Constructing flexible feature representations using nonparametric Bayesian inference,,J. L. Austerweil; T. L. Griffiths,,Psychological Review,120,4,817,851,2013-01,1,0,en,
,Bayesian generalization with circular consequential regions,,T. L. Griffiths; J. L. Austerweil,,Journal of Mathematical Psychology,56,4,281,285,2012-01,1,0,en,
,A rational model of the effects of distributional information on feature learning,,J. L. Austerweil; T. L. Griffiths,,Cognitive Psychology,63,,173,209,2011-01,1,0,en,
,Seeking confirmation is rational for deterministic hypotheses,,J. L. Austerweil; T. L. Griffiths,,Cognitive Science,35,,499,526,2011-01,1,0,en,
,Vertical position as a cue to pictorial depth: Height in the picture plane versus distance to the horizon,,J. S. Gardner; J. L. Austerweil; S. E. Palmer,,Attention Perception & Psychophysics,72,,445,453,2010-01,1,0,en,
