published_papers
タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
,Creating Something Different: Similarity Contrast and Representativeness in Categorization,,J. L. Austerweil; S. X. Liew; N. Conaway; K. J. Kurtz,筆頭著者,,,,,2024-01,,Computational Brain & Behavior,,,,1,35,en,あり,なし,研究論文(学術雑誌),国際誌,あり,https://doi.org/10.1007/s42113-024-00209-5,,,,,はい,公開
,Evidence for optimal semantic search throughout adulthood,,J. C. Zemla; D. C. Gooding; J. L. Austerweil,最終著者,,,,,2023-01,,Nature: Scientific Communications,13,,22528,,en,あり,なし,研究論文(学術雑誌),国際誌,あり,https://doi.org/10.1038/s41598-023-49858-9,,,,,はい,公開
,Communication in Action: Planning and interpreting communicative demonstrations,,M. K. Ho; F. Cushman; M. L. Littman; J. L. Austerweil,最終著者,,,,,2021-01,,Journal of Experimental Psychology: General,150,11,2246,2272,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,REFRESH: A New Approach to Modelling Dimensional Biases in Perceptual Similarity and Categorization,,A. N. Sanborn; K. Heller; J. L. Austerweil; N. Chater,共著者,,,,,2021-01,,Psychological Review,128,6,1145,1186,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Predictive Feedback Early Sensory Representations and Fast Responses to Predicted Stimuli Depend on NMDA Receptors,,S. Mohanta; M. Afrasiabi; C. Casey; S. Tanabe; M. J. Redinbaugh; N. A. Kambi; J. M. Phillips; D. Polyakov; W. Filbey; J. L. Austerweil; R. D. Sanders; Y. B. Saalman,共著者,,,,,2021-01,,Journal of Neuroscience,41,49,10130,10147,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,SNAFU: The Semantic Network and Fluency Utility,,J. C. Zemla; K. Cao; K. D. Mueller; J. L. Austerweil,最終著者,,,,,2020-01,,Behavior Research Methods,,,1,19,en,あり,なし,研究論文(学術雑誌),国際誌,あり,10.3758/s13428-019-01343-w,,,,,はい,公開
,Evidence against a relation between bilingualism and creativity,,K. V. Lange; E. W. M. Hopman; J. C. Zemla; J. L. Austerweil,最終著者,,,,,2020-01,,PLOS ONE,15,6,1,18,en,あり,なし,研究論文(学術雑誌),国際誌,あり,10.1371/journal.pone.0234928,,,,,はい,公開
,Learning How to Generalize,,J. L. Austerweil; S. A. Sanborn; T. L. Griffiths,筆頭著者,,,,,2019-01,,Cognitive Science,43,8,e12777,,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,People teach with rewards and punishments as communication not reinforcements,,M. K. Ho; F. Cushman; M. L. Littman; J. L. Austerweil,最終著者,,,,,2019-01,,Journal of Experimental Psychology: General,148,3,520,549,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,New Perspectives on the Aging Lexicon,,D. U. Wulff; S. De Deyne; M. N. Jones; R. Mata; J. L. Austerweil; R. H. Baayen; Balota; A. Baronchelli; M. Brysbaert; Q. Cai; S. Dennis; T. T. Hills; Y. N. Kenett; E. Keuleers; M. Marelli; S. V. Pakhomov; M. Ramscar; L. J. Schooler; Y. L. Shing; A. S. da Souza; C. S. Q. Siew; G. Storms; J. Verissimo,共著者,,,,,2019-01,,Trends in Cognitive Sciences,23,8,686,698,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Analyzing knowledge retrieval impairments associated with Alzheimer's Disease using network analyses,,J. C. Zemla; J. L. Austerweil,最終著者,,,,,2019-01,,Complexity,,,e4203158,,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Subjective randomness as statistical inference,,T. L. Griffiths; D. D. Daniels; J. L. Austerweil; J. B. Tenenbaum,共著者,,,,,2018-01,,Cognitive Psychology,103,,85,109,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Estimating semantic networks of groups and individuals from fluency data,,J. C. Zemla; J. L. Austerweil,最終著者,,,,,2018-01,,Computational Brain & Behavior,1,1,36,58,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Learning to be (in)variant using prior knowledge: The case of orientation in shape recognition,,J. L. Austerweil; S. E. Palmer; T. L. Griffiths,筆頭著者,,,,,2017-01,,Cognitive Science,41,,1183,1201,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,The Sapir-Whorf hypothesis and probabilistic inference: Evidence from the domain of color,,E. Cibelli; Y. Xu; J. L. Austerweil; T. L. Griffiths; T. Regier,共著者,,,,,2016-01,,PLOS: ONE,11,8,e0161521,,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Coding choices affect the analyses of a false belief measure,,D. M. Sobel; J. L. Austerweil,最終著者,,,,,2016-01,,Cognitive Development,40,,9,23,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
,Random walks on semantic networks can resemble optimal foraging,,J. T. Abbott; J. L. Austerweil; T. L. Griffiths,共著者,,,,,2015-01,,Psychological Review,122,3,558,569,en,あり,なし,研究論文(学術雑誌),国際誌,あり,,,,,,はい,公開
